地区,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
北京,2.37,3.45,2.35,3.06,3.08,3.79,4.89,3.71,3.43
天津,2.37,3.24,2.57,3.07,2.98,3.36,4.24,3.78,4.11
河北,2.04,2.14,2.35,2.44,2.52,2.68,2.96,3.1,3.11
山西,1.23,1.37,1.46,1.68,1.8,1.97,2.09,2.23,2.36
内蒙古,2.31,2.72,2.83,3.23,3.54,3.66,3.92,4,3.9
辽宁,2.94,3.27,3.22,3.47,3.48,3.48,3.65,3.81,3.95
吉林,3.43,3.72,4.03,4.51,4.44,4.63,4.71,4.9,4.75
黑龙江,3.6,3.89,4.09,4.65,4.88,4.98,4.91,5.19,5.12
上海,2.08,3.39,2.22,2.88,2.54,2.76,3.41,2.43,2.44
江苏,2.04,2.23,2.29,2.73,2.75,2.87,3.27,3.59,3.54
浙江,2.09,2.43,2.24,2.41,2.47,2.52,2.65,2.8,2.71
安徽,1.82,1.75,2.23,2.59,2.82,2.95,3.54,3.89,3.88
福建,1.66,1.89,2,2.19,2.3,2.33,2.51,2.72,2.72
江西,1.46,1.49,1.68,1.9,1.97,2.08,2.24,2.41,2.7
山东,1.76,1.9,2.03,2.31,2.4,2.45,2.58,2.73,2.74
河南,1.42,1.28,1.7,2.23,2.45,2.66,2.93,3.32,3.4
湖北,2.03,2.03,2.35,2.6,2.71,2.85,3.13,3.38,3.4
湖南,2.13,2.09,2.34,2.5,2.62,2.67,2.85,3.03,3.1
广东,1.23,1.66,1.47,1.66,1.67,1.78,1.95,1.99,2.03
广西,1.54,1.45,1.83,1.97,2.13,2.18,2.35,2.47,2.62
海南,1.04,1.22,1.36,1.47,1.57,1.66,1.83,1.93,2.1
重庆,3.93,3.74,4.27,4.5,4.45,4.55,4.6,4.93,4.96
四川,2.72,2.57,3.11,3.31,3.38,3.49,3.61,3.76,3.76
贵州,1.82,1.72,2.33,2.45,2.73,3.07,3.43,3.77,4.22
云南,1.5,1.64,1.76,1.95,2.14,2.3,2.52,2.66,2.77
西藏,0.67,0.68,0.43,0.57,0.84,0.73,1.08,1.2,1.37
陕西,1.72,1.76,1.89,2.14,2.26,2.57,2.67,2.84,3.34
甘肃,1.09,1.13,1.28,1.49,1.63,1.78,1.94,2.07,2.2
青海,1.43,1.7,1.86,1.87,2.16,2.17,2.58,2.76,2.85
宁夏,1.91,2.08,2.32,2.43,2.4,2.64,2.92,3.27,3.33
新疆,4.51,4.81,4.62,4.82,4.74,4.31,3.98,3.07,2.41
