地区,离婚率,人均可支配收入
河北,3.11,23445.65
山西,2.36,21990.14
吉林,4.75,22798.37
黑龙江,5.12,22725.85
安徽,3.88,23983.58
江西,2.7,24079.68
河南,3.4,21963.54
广西,2.62,21485.03
海南,2.1,24579.04
四川,3.76,22460.55
贵州,4.22,18430.18
云南,2.77,20084.19
西藏,1.37,17286.06
陕西,3.34,22528.26
甘肃,2.2,17488.39
青海,2.85,20757.26
宁夏,3.33,22400.42
新疆,2.41,21500.24
河北,3.1,21484.13
山西,2.23,20420.01
吉林,4.9,21368.32
黑龙江,5.19,21205.79
安徽,3.89,21863.3
江西,2.41,22031.45
河南,3.32,20170.03
湖北,3.38,23757.17
湖南,3.03,23102.71
广西,2.47,19904.76
海南,1.93,22553.24
重庆,4.93,24152.99
四川,3.76,20579.82
贵州,3.77,16703.65
云南,2.66,18348.34
西藏,1.2,15457.3
陕西,2.84,20635.21
甘肃,2.07,16011
青海,2.76,19001.02
宁夏,3.27,20561.66
新疆,3.07,19975.1
河北,2.96,19725.42
山西,2.09,19048.88
内蒙古,3.92,24126.64
吉林,4.71,19966.99
黑龙江,4.91,19838.5
安徽,3.54,19998.1
江西,2.24,20109.56
山东,2.58,24685.27
河南,2.93,18443.08
湖北,3.13,21786.64
湖南,2.85,21114.79
广西,2.35,18305.08
海南,1.83,20653.44
重庆,4.6,22034.14
四川,3.61,18808.26
贵州,3.43,15121.15
云南,2.52,16719.9
西藏,1.08,13639.24
陕西,2.67,18873.74
甘肃,1.94,14670.31
青海,2.58,17301.76
宁夏,2.92,18832.28
新疆,3.98,18354.65
河北,2.68,18118.09
山西,1.97,17853.67
内蒙古,3.66,22310.09
辽宁,3.48,24575.58
吉林,4.63,18683.7
黑龙江,4.98,18592.65
安徽,2.95,18362.57
江西,2.08,18437.11
山东,2.45,22703.19
河南,2.66,17124.75
湖北,2.85,20025.56
湖南,2.67,19317.49
广西,2.18,16873.42
海南,1.66,18978.97
重庆,4.55,20110.11
四川,3.49,17220.96
贵州,3.07,13696.61
云南,2.3,15222.57
西藏,0.73,12254.3
陕西,2.57,17394.98
甘肃,1.78,13466.59
青海,2.17,15812.7
宁夏,2.64,17329.09
新疆,4.31,16859.11
河北,2.52,16647.4
山西,1.8,16538.32
内蒙古,3.54,20559.34
辽宁,3.48,22820.15
吉林,4.44,17520.39
黑龙江,4.88,17404.39
安徽,2.82,16795.52
福建,2.3,23330.85
江西,1.97,16734.17
山东,2.4,20864.21
河南,2.45,15695.18
湖北,2.71,18283.23
湖南,2.62,17621.74
广西,2.13,15557.08
海南,1.57,17476.46
重庆,4.45,18351.9
四川,3.38,15749.01
贵州,2.73,12371.06
云南,2.14,13772.21
西藏,0.84,10730.22
陕西,2.26,15836.75
甘肃,1.63,12184.71
青海,2.16,14373.98
宁夏,2.4,15906.78
新疆,4.74,15096.62
河北,2.44,15189.64
山西,1.68,15119.72
内蒙古,3.23,18692.89
辽宁,3.47,20817.84
吉林,4.51,15998.12
黑龙江,4.65,15903.45
江苏,2.73,24775.54
安徽,2.59,15154.31
福建,2.19,21217.95
江西,1.9,15099.68
山东,2.31,19008.26
河南,2.23,14203.71
湖北,2.6,16472.46
湖南,2.5,16004.9
广东,1.66,23420.75
广西,1.97,14082.3
海南,1.47,15733.28
重庆,4.5,16568.67
四川,3.31,14230.99
贵州,2.45,11083.06
云南,1.95,12577.87
陕西,2.14,14371.55
甘肃,1.49,10954.4
青海,1.87,12947.84
宁夏,2.43,14565.78
新疆,4.82,13669.62
西藏,0.57,9740.43
